map_size,sigma,learning_rate,init_method,qe,n_cluster
5x5,0.9,0.9,random_init,0.30441095488995507,25
5x5,0.9,0.8,random_init,0.31352801279015124,25
5x5,0.9,0.6,random_init,0.31545942271701044,25
5x5,0.6,0.9,random_init,0.3156397302144589,25
5x5,0.8,0.4,random_init,0.3164089333611429,25
5x5,0.6,0.8,random_init,0.323218450916155,25
5x5,0.7,0.7,random_init,0.32345711146488226,25
5x5,0.8,0.6,random_init,0.32398157465410193,25
5x5,0.8,0.9,random_init,0.32666430778849476,25
5x5,0.7,0.8,random_init,0.32871922607398674,25
5x5,0.9,0.7,random_init,0.3303971608456067,25
5x5,0.6,0.7,random_init,0.33917029190543163,25
5x5,0.4,0.4,random_init,0.3447745212735418,25
5x5,0.5,0.3,random_init,0.3464339774408317,25
5x5,0.8,0.5,random_init,0.3505744674076256,24
5x5,0.5,0.4,random_init,0.351094542439164,25
5x5,0.8,0.3,random_init,0.351548118925036,24
5x5,0.9,0.3,random_init,0.35331040277983883,24
5x5,0.9,0.5,random_init,0.3542299522970546,24
5x5,0.6,0.3,random_init,0.3556578488735903,25
5x5,0.2,0.4,random_init,0.35628430339226697,25
5x5,0.7,0.6,random_init,0.35679455262796517,25
5x5,0.8,0.7,random_init,0.3575632384759234,25
5x5,0.8,0.8,random_init,0.3592575907534039,25
5x5,0.6,0.5,random_init,0.3613354066951187,24
5x5,0.3,0.6,random_init,0.36181738771095506,25
5x5,0.4,0.6,random_init,0.363712138669583,25
5x5,0.9,0.4,random_init,0.3661632820808546,25
5x5,0.7,0.9,random_init,0.36616509375139356,25
5x5,0.7,0.4,random_init,0.3670943924578615,25
5x5,0.3,0.3,random_init,0.36742915092140477,25
5x5,0.7,0.1,random_init,0.3674822560963318,25
5x5,0.3,0.4,random_init,0.36780576547129007,25
5x5,0.9,0.2,random_init,0.36807724271182546,24
5x5,0.1,0.2,random_init,0.3692395917800043,24
5x5,0.1,0.3,random_init,0.3702490923229685,24
5x5,0.2,0.2,random_init,0.3707978219709105,24
5x5,0.2,0.3,random_init,0.3708741584788778,24
5x5,0.4,0.2,random_init,0.37113883170104767,24
5x5,0.6,0.6,random_init,0.37116430980098286,25
5x5,0.4,0.5,random_init,0.3714735523319888,25
5x5,0.4,0.3,random_init,0.37190113760660515,25
5x5,0.3,0.5,random_init,0.3728043739741114,25
5x5,0.1,0.6,random_init,0.37385117973796056,24
5x5,0.6,0.2,random_init,0.37412327336950585,25
5x5,0.1,0.4,random_init,0.37464799675032817,24
5x5,0.6,0.4,random_init,0.37572549874965266,24
5x5,0.7,0.3,random_init,0.37577449717130496,24
5x5,0.4,0.1,random_init,0.37769693238692914,23
5x5,0.5,0.2,random_init,0.37772295481343704,25
5x5,0.5,0.1,random_init,0.3780738216582583,23
5x5,0.3,0.7,random_init,0.37926522427909937,24
5x5,0.5,0.9,random_init,0.3798039699646757,25
5x5,0.5,0.5,random_init,0.38002069671626093,25
5x5,0.7,0.5,random_init,0.3808501435912917,24
5x5,0.8,0.1,random_init,0.3818710541396503,25
5x5,0.8,0.2,random_init,0.38194699411023697,23
5x5,0.2,0.6,random_init,0.3827003323038606,25
4x4,0.9,0.4,random_init,0.383045057829718,16
5x5,0.5,0.8,random_init,0.38612426222358776,25
5x5,0.3,0.2,random_init,0.38809254468758864,24
4x4,0.7,0.3,random_init,0.38856230587950324,16
5x5,0.6,0.1,random_init,0.38883924586436447,25
5x5,0.4,0.9,random_init,0.3901611436905575,25
5x5,0.1,0.9,random_init,0.39055378036197436,24
4x4,0.8,0.2,random_init,0.39270678293618055,16
5x5,0.5,0.6,random_init,0.3928284449557222,25
4x4,0.9,0.6,random_init,0.3946872249589276,16
5x5,0.3,0.1,random_init,0.395538768657021,24
5x5,0.2,0.7,random_init,0.39554609650154066,25
5x5,0.4,0.7,random_init,0.39597344317561245,25
5x5,0.2,0.9,random_init,0.3967426725331511,25
5x5,0.2,0.5,random_init,0.3972148675250823,24
5x5,0.1,0.5,random_init,0.3974432300842457,24
5x5,0.1,0.7,random_init,0.3978657916287322,23
5x5,0.9,0.1,random_init,0.3987882358094195,24
5x5,0.7,0.2,random_init,0.4003127162086112,25
5x5,0.5,0.7,random_init,0.4006007253661129,25
5x5,0.2,0.8,random_init,0.4038725001920022,25
4x4,0.7,0.4,random_init,0.40463306347456685,16
4x4,0.1,0.4,random_init,0.40561460993849174,16
5x5,0.1,0.1,random_init,0.4061413749451738,24
4x4,0.7,0.6,random_init,0.406858000212053,16
5x5,0.2,0.1,random_init,0.4093376718189746,24
4x4,0.8,0.9,random_init,0.41069289463819375,16
4x4,0.1,0.3,random_init,0.41102223030570584,16
4x4,0.8,0.6,random_init,0.41118386396226314,16
5x5,0.1,0.8,random_init,0.41246281979705873,24
4x4,0.3,0.3,random_init,0.412912790383962,16
4x4,0.2,0.3,random_init,0.41291842249686644,16
5x5,0.3,0.8,random_init,0.41302343038868616,25
4x4,0.8,0.4,random_init,0.415596018887654,16
4x4,0.9,0.2,random_init,0.4176882606515586,16
4x4,0.9,0.5,random_init,0.41893217337598954,16
4x4,0.1,0.2,random_init,0.42774083785304545,16
4x4,0.3,0.6,random_init,0.42904295302635787,16
4x4,0.2,0.6,random_init,0.42904994927271534,16
4x4,0.3,0.4,random_init,0.4294098464820668,16
4x4,0.2,0.4,random_init,0.4294154289873953,16
4x4,0.7,0.8,random_init,0.431015487961384,16
4x4,0.9,0.3,random_init,0.4329794579213497,16
5x5,0.4,0.8,random_init,0.43313002188523547,25
4x4,0.6,0.4,random_init,0.43459231517819213,16
4x4,0.9,0.8,random_init,0.4347528934537992,16
4x4,0.6,0.5,random_init,0.43676840500341174,16
4x4,0.5,0.6,random_init,0.43782078137578523,16
4x4,0.5,0.1,random_init,0.4386514103929092,16
